産   業,,,,,,,毎月勤労統計調査全国調査結果原表,,,,,,,,,
TL,,,調　査　産　業　計,,令和 7年,C1月分,,,,,,,（ 確 報 ）,確  原  表　―,,1頁
,,,,,,,,,,,,,,,,
"規

模",,"形

態",常　　　用　　　労　　　働　　　者　　　数　　　　,,,,,"出　勤
日　数",実　労　働　時　間　数,,,現　　　　金　　　　給　　　　与　　　　額,,,,
,性,,前調査期間末,本月中の増加,本月中の減少,本調査期間末,,,総    数,所定内,所定外,総　　　　額,"きまって支
給する給与",所定内給与,超過労働給与,"特別に支払
われた給与"
,,,,,,,パートタイム労働者数,,,,,,,,,
,,,人,人,人,人,人,日,時間,時間,時間,円,円,円,円,円
,,P,"4,904 ",28 ,82 ,"4,850 ",-,17.4 ,114.6 ,114.1 ,0.5 ,"180,217 ","157,749 ","156,949 ",800 ,"22,468 "
,,,,,,,,,,,,,,,,
9,T,T,"116,103 ","1,016 ","1,053 ","116,066 ","9,986 ",18.6 ,152.2 ,142.5 ,9.7 ,"459,459 ","350,667 ","335,099 ","15,568 ","108,792 "
,M,T,"79,322 ",732 ,702 ,"79,352 ","2,708 ",18.9 ,158.7 ,147.0 ,11.7 ,"515,946 ","393,257 ",,,"122,689 "
,F,T,"36,782 ",285 ,351 ,"36,716 ","7,279 ",17.9 ,138.1 ,132.7 ,5.4 ,"337,508 ","258,720 ",,,"78,788 "
,,N,"106,154 ",889 ,"1,013 ","106,081 ",-,18.9 ,156.7 ,146.3 ,10.4 ,"488,486 ","370,489 ","353,768 ","16,721 ","117,997 "
,,P,"9,949 ",128 ,40 ,"9,986 ",-,16.0 ,103.9 ,101.8 ,2.1 ,"150,436 ","139,643 ","136,350 ","3,293 ","10,793 "
,,,,,,,,,,,,,,,,
産   業,,,,,,,毎月勤労統計調査全国調査結果原表,,,,,,,,,
I581,,,各種食料品小売業,,令和 7年,C1月分,,,,,,,（ 確 報 ）,確  原  表　―,,100頁
,,,,,,,,,,,,,,,,
"規

模",,"形

態",常　　　用　　　労　　　働　　　者　　　数　　　　,,,,,"出　勤
日　数",実　労　働　時　間　数,,,現　　　　金　　　　給　　　　与　　　　額,,,,
,性,,前調査期間末,本月中の増加,本月中の減少,本調査期間末,,,総    数,所定内,所定外,総　　　　額,"きまって支
給する給与",所定内給与,超過労働給与,"特別に支払
われた給与"
,,,,,,,パートタイム労働者数,,,,,,,,,
,,,人,人,人,人,人,日,時間,時間,時間,円,円,円,円,円
T,T,T,"1,020,634 ","17,744 ","18,585 ","1,019,793 ","843,351 ",16.9 ,105.8 ,101.0 ,4.8 ,"161,908 ","148,275 ","141,668 ","6,607 ","13,633 "
,M,T,"300,788 ","7,877 ","7,583 ","301,082 ","186,055 ",17.1 ,122.1 ,112.8 ,9.3 ,"232,983 ","201,520 ",,,"31,463 "
,F,T,"719,847 ","9,867 ","11,002 ","718,712 ","657,296 ",16.8 ,99.0 ,96.1 ,2.9 ,"132,172 ","125,998 ",,,"6,174 "
,,N,"176,461 ","4,291 ","4,201 ","176,442 ",-,20.1 ,177.6 ,159.9 ,17.7 ,"387,784 ","321,070 ","292,274 ","28,796 ","66,714 "
,,P,"844,173 ","13,453 ","14,385 ","843,351 ",-,16.2 ,90.8 ,88.7 ,2.1 ,"114,672 ","112,139 ","110,173 ","1,966 ","2,533 "
,,,,,,,,,,,,,,,,
0,T,T,"908,231 ","15,052 ","15,690 ","907,593 ","748,051 ",17.1 ,107.5 ,102.6 ,4.9 ,"166,253 ","151,954 ","145,113 ","6,841 ","14,299 "
,M,T,"270,546 ","6,727 ","6,695 ","270,578 ","164,255 ",17.3 ,123.9 ,114.4 ,9.5 ,"239,168 ","206,277 ",,,"32,891 "
,F,T,"637,685 ","8,324 ","8,995 ","637,014 ","583,795 ",17.0 ,100.4 ,97.5 ,2.9 ,"135,299 ","128,893 ",,,"6,406 "
,,N,"159,460 ","3,936 ","3,795 ","159,542 ",-,20.1 ,178.3 ,160.1 ,18.2 ,"394,043 ","325,439 ","295,714 ","29,725 ","68,604 "
,,P,"748,771 ","11,115 ","11,895 ","748,051 ",-,16.4 ,92.3 ,90.3 ,2.0 ,"117,706 ","114,980 ","113,016 ","1,964 ","2,726 "
,,,,,,,,,,,,,,,,
1,T,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,M,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,F,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,P,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,
3,T,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,M,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,F,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,P,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,
4,T,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,M,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,F,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,P,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,
5,T,T,"464,913 ","8,179 ","8,540 ","464,552 ","383,685 ",16.7 ,105.5 ,100.3 ,5.2 ,"168,828 ","153,196 ","145,843 ","7,353 ","15,632 "
,M,T,"143,658 ","3,716 ","3,811 ","143,563 ","89,127 ",16.9 ,120.4 ,110.8 ,9.6 ,"240,739 ","205,726 ",,,"35,013 "
,F,T,"321,255 ","4,463 ","4,729 ","320,989 ","294,558 ",16.6 ,98.9 ,95.7 ,3.2 ,"136,668 ","129,704 ",,,"6,964 "
,,N,"80,675 ","2,262 ","2,085 ","80,868 ",-,19.9 ,179.8 ,160.5 ,19.3 ,"417,272 ","340,929 ","308,198 ","32,731 ","76,343 "
,,P,"384,239 ","5,917 ","6,454 ","383,685 ",-,16.0 ,89.9 ,87.7 ,2.2 ,"116,564 ","113,704 ","111,690 ","2,014 ","2,860 "
,,,,,,,,,,,,,,,,
7,T,T,"443,318 ","6,872 ","7,151 ","443,039 ","364,366 ",17.5 ,109.5 ,104.9 ,4.6 ,"163,552 ","150,650 ","144,346 ","6,304 ","12,902 "
,M,T,"126,888 ","3,011 ","2,885 ","127,014 ","75,129 ",17.7 ,127.8 ,118.4 ,9.4 ,"237,391 ","206,899 ",,,"30,492 "
,F,T,"316,430 ","3,861 ","4,266 ","316,025 ","289,237 ",17.4 ,102.2 ,99.5 ,2.7 ,"133,909 ","128,069 ",,,"5,840 "
,,N,"78,786 ","1,674 ","1,709 ","78,674 ",-,20.2 ,176.6 ,159.6 ,17.0 ,"370,212 ","309,548 ","282,908 ","26,640 ","60,664 "
,,P,"364,533 ","5,198 ","5,441 ","364,366 ",-,16.9 ,95.0 ,93.1 ,1.9 ,"118,909 ","116,325 ","114,414 ","1,911 ","2,584 "
,,,,,,,,,,,,,,,,
9,T,T,"112,403 ","2,693 ","2,895 ","112,201 ","95,300 ",15.1 ,92.4 ,88.4 ,4.0 ,"126,785 ","118,534 ","113,822 ","4,712 ","8,251 "
,M,T,"30,241 ","1,150 ",887 ,"30,504 ","21,799 ",15.2 ,106.4 ,98.9 ,7.5 ,"177,889 ","159,149 ",,,"18,740 "
,F,T,"82,162 ","1,543 ","2,008 ","81,697 ","73,501 ",15.0 ,87.2 ,84.5 ,2.7 ,"107,841 ","103,478 ",,,"4,363 "
,,N,"17,001 ",355 ,406 ,"16,901 ",-,20.7 ,172.4 ,158.7 ,13.7 ,"328,885 ","279,956 ","259,894 ","20,062 ","48,929 "
,,P,"95,402 ","2,338 ","2,489 ","95,300 ",-,14.1 ,78.1 ,75.9 ,2.2 ,"90,858 ","89,838 ","87,854 ","1,984 ","1,020 "
,,,,,,,,,,,,,,,,
産   業,,,,,,,毎月勤労統計調査全国調査結果原表,,,,,,,,,
I591,,,自動車小売業,,令和 7年,C1月分,,,,,,,（ 確 報 ）,確  原  表　―,,101頁
,,,,,,,,,,,,,,,,
"規

模",,"形

態",常　　　用　　　労　　　働　　　者　　　数　　　　,,,,,"出　勤
日　数",実　労　働　時　間　数,,,現　　　　金　　　　給　　　　与　　　　額,,,,
,性,,前調査期間末,本月中の増加,本月中の減少,本調査期間末,,,総    数,所定内,所定外,総　　　　額,"きまって支
給する給与",所定内給与,超過労働給与,"特別に支払
われた給与"
,,,,,,,パートタイム労働者数,,,,,,,,,
,,,人,人,人,人,人,日,時間,時間,時間,円,円,円,円,円
T,T,T,"434,089 ","6,956 ","6,169 ","434,876 ","38,875 ",19.5 ,163.2 ,149.9 ,13.3 ,"431,212 ","341,209 ","318,274 ","22,935 ","90,003 "
,M,T,"351,351 ","5,194 ","4,715 ","351,830 ","22,018 ",19.7 ,167.2 ,152.5 ,14.7 ,"463,532 ","366,087 ",,,"97,445 "
,F,T,"82,738 ","1,762 ","1,455 ","83,045 ","16,857 ",18.6 ,146.0 ,138.9 ,7.1 ,"294,126 ","235,686 ",,,"58,440 "
,,N,"395,459 ","5,580 ","5,220 ","396,000 ",-,20.0 ,169.4 ,155.0 ,14.4 ,"461,019 ","362,620 ","337,657 ","24,963 ","98,399 "
,,P,"38,630 ","1,375 ",950 ,"38,875 ",-,14.5 ,99.4 ,97.7 ,1.7 ,"126,823 ","122,559 ","120,332 ","2,227 ","4,264 "
,,,,,,,,,,,,,,,,
0,T,T,"80,828 ","1,205 ","1,043 ","80,990 ","5,989 ",19.2 ,160.7 ,146.2 ,14.5 ,"442,008 ","339,093 ","310,815 ","28,278 ","102,915 "
,M,T,"64,405 ",794 ,793 ,"64,406 ","2,622 ",19.5 ,165.3 ,149.2 ,16.1 ,"478,169 ","365,304 ",,,"112,865 "
,F,T,"16,423 ",411 ,250 ,"16,584 ","3,368 ",18.2 ,143.1 ,134.7 ,8.4 ,"300,888 ","236,804 ",,,"64,084 "
,,N,"74,849 ","1,042 ",935 ,"75,001 ",-,19.6 ,166.0 ,150.5 ,15.5 ,"467,715 ","356,910 ","326,681 ","30,229 ","110,805 "
,,P,"5,980 ",163 ,108 ,"5,989 ",-,14.2 ,95.5 ,93.0 ,2.5 ,"120,148 ","116,022 ","112,181 ","3,841 ","4,126 "
,,,,,,,,,,,,,,,,
1,T,T,*,*,*,*,*,*,*,*,*,*,*,*,*,*
,M,T,*,*,*,*,*,*,*,*,*,*,*,*,*,*
,F,T,*,*,*,*,*,*,*,*,*,*,*,*,*,*
,,N,*,*,*,*,*,*,*,*,*,*,*,*,*,*
,,P,*,*,*,*,*,*,*,*,*,*,*,*,*,*
,,,,,,,,,,,,,,,,
3,T,T,*,*,*,*,*,*,*,*,*,*,*,*,*,*
,M,T,*,*,*,*,*,*,*,*,*,*,*,*,*,*
,F,T,*,*,*,*,*,*,*,*,*,*,*,*,*,*
,,N,*,*,*,*,*,*,*,*,*,*,*,*,*,*
,,P,*,*,*,*,*,*,*,*,*,*,*,*,*,*
,,,,,,,,,,,,,,,,
4,T,T,*,*,*,*,*,*,*,*,*,*,*,*,*,*
,M,T,*,*,*,*,*,*,*,*,*,*,*,*,*,*
,F,T,*,*,*,*,*,*,*,*,*,*,*,*,*,*
,,N,*,*,*,*,*,*,*,*,*,*,*,*,*,*
,,P,*,*,*,*,*,*,*,*,*,*,*,*,*,*
,,,,,,,,,,,,,,,,
5,T,T,"11,109 ",123 ,173 ,"11,059 ",456 ,19.5 ,160.7 ,150.4 ,10.3 ,"555,243 ","405,438 ","380,429 ","25,009 ","149,805 "
,M,T,"8,799 ",96 ,147 ,"8,748 ",178 ,19.8 ,164.1 ,152.4 ,11.7 ,"609,289 ","447,899 ",,,"161,390 "
,F,T,"2,310 ",27 ,27 ,"2,310 ",278 ,18.6 ,147.9 ,142.8 ,5.1 ,"349,954 ","244,154 ",,,"105,800 "
,,N,"10,641 ",108 ,147 ,"10,603 ",-,19.6 ,161.1 ,150.4 ,10.7 ,"574,866 ","418,605 ","392,539 ","26,066 ","156,261 "
,,P,468 ,15 ,27 ,456 ,-,19.1 ,149.6 ,149.1 ,0.5 ,"104,057 ","102,691 ","102,004 ",687 ,"1,366 "
,,,,,,,,,,,,,,,,
7,T,T,"67,186 ","1,067 ",853 ,"67,400 ","5,315 ",19.2 ,160.8 ,145.6 ,15.2 ,"421,878 ","327,922 ","299,221 ","28,701 ","93,956 "
,M,T,"53,571 ",686 ,635 ,"53,622 ","2,285 ",19.4 ,165.5 ,148.7 ,16.8 ,"455,424 ","351,678 ",,,"103,746 "
,F,T,"13,614 ",381 ,219 ,"13,776 ","3,030 ",18.1 ,142.4 ,133.5 ,8.9 ,"290,595 ","234,952 ",,,"55,643 "
,,N,"61,893 ",924 ,778 ,"62,084 ",-,19.6 ,166.9 ,150.6 ,16.3 ,"447,685 ","346,002 ","315,199 ","30,803 ","101,683 "
,,P,"5,293 ",143 ,75 ,"5,315 ",-,13.7 ,90.5 ,87.8 ,2.7 ,"120,260 ","116,618 ","112,489 ","4,129 ","3,642 "
,,,,,,,,,,,,,,,,
9,T,T,"353,261 ","5,751 ","5,126 ","353,886 ","32,886 ",19.6 ,163.8 ,150.8 ,13.0 ,"428,742 ","341,693 ","319,980 ","21,713 ","87,049 "
,M,T,"286,946 ","4,400 ","3,921 ","287,425 ","19,396 ",19.8 ,167.7 ,153.3 ,14.4 ,"460,248 ","366,262 ",,,"93,986 "
,F,T,"66,315 ","1,351 ","1,205 ","66,461 ","13,490 ",18.7 ,146.6 ,139.9 ,6.7 ,"292,445 ","235,408 ",,,"57,037 "
,,N,"320,611 ","4,538 ","4,284 ","320,999 ",-,20.1 ,170.3 ,156.1 ,14.2 ,"459,456 ","363,954 ","340,221 ","23,733 ","95,502 "
,,P,"32,650 ","1,212 ",842 ,"32,886 ",-,14.5 ,100.1 ,98.5 ,1.6 ,"128,042 ","123,753 ","121,821 ","1,932 ","4,289 "
,,,,,,,,,,,,,,,,
産   業,,,,,,,毎月勤労統計調査全国調査結果原表,,,,,,,,,
K694,,,不動産管理業,,令和 7年,C1月分,,,,,,,（ 確 報 ）,確  原  表　―,,102頁
,,,,,,,,,,,,,,,,
"規

模",,"形

態",常　　　用　　　労　　　働　　　者　　　数　　　　,,,,,"出　勤
日　数",実　労　働　時　間　数,,,現　　　　金　　　　給　　　　与　　　　額,,,,
,性,,前調査期間末,本月中の増加,本月中の減少,本調査期間末,,,総    数,所定内,所定外,総　　　　額,"きまって支
給する給与",所定内給与,超過労働給与,"特別に支払
われた給与"
,,,,,,,パートタイム労働者数,,,,,,,,,
,,,人,人,人,人,人,日,時間,時間,時間,円,円,円,円,円
T,T,T,"188,929 ","2,886 ","2,720 ","189,095 ","62,012 ",18.5 ,137.6 ,128.3 ,9.3 ,"365,842 ","290,174 ","270,449 ","19,725 ","75,668 "
,M,T,"122,894 ","1,671 ","1,623 ","122,942 ","39,526 ",18.9 ,142.2 ,131.8 ,10.4 ,"399,194 ","315,206 ",,,"83,988 "
,F,T,"66,035 ","1,215 ","1,097 ","66,153 ","22,486 ",17.8 ,129.2 ,121.9 ,7.3 ,"303,816 ","243,621 ",,,"60,195 "
,,N,"127,017 ","1,570 ","1,505 ","127,083 ",-,19.6 ,161.8 ,148.9 ,12.9 ,"487,055 ","376,519 ","348,337 ","28,182 ","110,536 "
,,P,"61,912 ","1,316 ","1,215 ","62,012 ",-,16.3 ,88.1 ,86.2 ,1.9 ,"117,301 ","113,128 ","110,744 ","2,384 ","4,173 "
,,,,,,,,,,,,,,,,
0,T,T,"146,822 ","2,071 ","1,918 ","146,975 ","56,562 ",18.3 ,131.8 ,122.9 ,8.9 ,"341,887 ","274,878 ","255,872 ","19,006 ","67,009 "
,M,T,"95,805 ","1,316 ","1,176 ","95,945 ","37,568 ",18.7 ,135.8 ,126.3 ,9.5 ,"369,185 ","296,100 ",,,"73,085 "
,F,T,"51,017 ",756 ,743 ,"51,030 ","18,993 ",17.7 ,124.1 ,116.5 ,7.6 ,"290,592 ","235,001 ",,,"55,591 "
,,N,"90,348 ","1,144 ","1,076 ","90,412 ",-,19.4 ,158.8 ,145.5 ,13.3 ,"482,254 ","375,952 ","346,303 ","29,649 ","106,302 "
,,P,"56,473 ",927 ,843 ,"56,562 ",-,16.6 ,88.4 ,86.7 ,1.7 ,"117,417 ","113,244 ","111,256 ","1,988 ","4,173 "
,,,,,,,,,,,,,,,,
1,T,T,"4,919 ",82 ,71 ,"4,930 ","2,062 ",17.5 ,109.8 ,99.2 ,10.6 ,"267,855 ","230,325 ","209,575 ","20,750 ","37,530 "
,M,T,"3,220 ",51 ,43 ,"3,228 ","1,392 ",18.1 ,109.4 ,98.6 ,10.8 ,"278,423 ","240,928 ",,,"37,495 "
,F,T,"1,699 ",31 ,27 ,"1,703 ",670 ,16.4 ,110.7 ,100.5 ,10.2 ,"247,826 ","210,230 ",,,"37,596 "
,,N,"2,863 ",33 ,27 ,"2,868 ",-,19.8 ,135.6 ,118.8 ,16.8 ,"394,395 ","330,397 ","296,463 ","33,934 ","63,998 "
,,P,"2,056 ",49 ,43 ,"2,062 ",-,14.3 ,74.0 ,72.0 ,2.0 ,"91,778 ","91,077 ","88,674 ","2,403 ",701 
,,,,,,,,,,,,,,,,
3,T,T,"20,735 ",324 ,353 ,"20,706 ","8,632 ",17.9 ,131.0 ,121.5 ,9.5 ,"393,221 ","296,638 ","277,600 ","19,038 ","96,583 "
,M,T,"13,076 ",199 ,223 ,"13,052 ","5,791 ",18.0 ,132.0 ,122.8 ,9.2 ,"433,112 ","322,640 ",,,"110,472 "
,F,T,"7,658 ",125 ,130 ,"7,653 ","2,842 ",17.7 ,129.2 ,119.2 ,10.0 ,"325,151 ","252,267 ",,,"72,884 "
,,N,"12,088 ",183 ,198 ,"12,073 ",-,19.1 ,160.9 ,146.7 ,14.2 ,"586,643 ","423,839 ","392,971 ","30,868 ","162,804 "
,,P,"8,647 ",140 ,155 ,"8,632 ",-,16.2 ,89.0 ,86.1 ,2.9 ,"122,773 ","118,781 ","116,285 ","2,496 ","3,992 "
,,,,,,,,,,,,,,,,
4,T,T,"25,654 ",405 ,424 ,"25,635 ","10,695 ",17.8 ,126.9 ,117.2 ,9.7 ,"369,146 ","283,903 ","264,537 ","19,366 ","85,243 "
,M,T,"16,296 ",250 ,267 ,"16,279 ","7,183 ",18.0 ,127.5 ,118.0 ,9.5 ,"402,495 ","306,467 ",,,"96,028 "
,F,T,"9,358 ",156 ,157 ,"9,357 ","3,511 ",17.5 ,125.8 ,115.8 ,10.0 ,"311,095 ","244,626 ",,,"66,469 "
,,N,"14,951 ",216 ,225 ,"14,941 ",-,19.3 ,156.1 ,141.4 ,14.7 ,"549,784 ","405,924 ","374,468 ","31,456 ","143,860 "
,,P,"10,703 ",189 ,198 ,"10,695 ",-,15.8 ,86.1 ,83.4 ,2.7 ,"116,807 ","113,448 ","110,970 ","2,478 ","3,359 "
,,,,,,,,,,,,,,,,
5,T,T,"83,237 ","1,119 ",975 ,"83,381 ","36,706 ",18.5 ,129.2 ,120.8 ,8.4 ,"315,040 ","261,384 ","242,866 ","18,518 ","53,656 "
,M,T,"57,122 ",746 ,614 ,"57,254 ","26,307 ",18.8 ,132.6 ,123.8 ,8.8 ,"330,666 ","274,869 ",,,"55,797 "
,F,T,"26,115 ",372 ,362 ,"26,125 ","10,399 ",17.7 ,121.6 ,114.2 ,7.4 ,"280,828 ","231,860 ",,,"48,968 "
,,N,"46,654 ",513 ,490 ,"46,675 ",-,19.4 ,158.5 ,144.8 ,13.7 ,"467,992 ","375,606 ","344,195 ","31,411 ","92,386 "
,,P,"36,584 ",606 ,485 ,"36,706 ",-,17.2 ,91.8 ,90.3 ,1.5 ,"120,269 ","115,932 ","113,832 ","2,100 ","4,337 "
,,,,,,,,,,,,,,,,
7,T,T,"37,930 ",547 ,520 ,"37,957 ","9,161 ",18.4 ,140.6 ,131.2 ,9.4 ,"382,407 ","298,405 ","278,569 ","19,836 ","84,002 "
,M,T,"22,387 ",319 ,296 ,"22,410 ","4,078 ",18.8 ,149.8 ,138.5 ,11.3 ,"443,309 ","342,768 ",,,"100,541 "
,F,T,"15,544 ",228 ,224 ,"15,548 ","5,083 ",17.7 ,127.1 ,120.6 ,6.5 ,"294,657 ","234,485 ",,,"60,172 "
,,N,"28,744 ",416 ,360 ,"28,797 ",-,19.4 ,160.7 ,148.7 ,12.0 ,"470,306 ","360,944 ","335,091 ","25,853 ","109,362 "
,,P,"9,186 ",132 ,160 ,"9,161 ",-,15.1 ,77.2 ,76.3 ,0.9 ,"106,740 ","102,272 ","101,304 ",968 ,"4,468 "
,,,,,,,,,,,,,,,,
9,T,T,"42,107 ",815 ,802 ,"42,120 ","5,450 ",19.2 ,158.2 ,147.3 ,10.9 ,"449,401 ","343,528 ","321,296 ","22,232 ","105,873 "
,M,T,"27,089 ",356 ,447 ,"26,998 ","1,958 ",19.7 ,164.9 ,151.4 ,13.5 ,"505,580 ","382,939 ",,,"122,641 "
,F,T,"15,018 ",460 ,354 ,"15,124 ","3,493 ",18.2 ,146.3 ,140.1 ,6.2 ,"348,590 ","272,807 ",,,"75,783 "
,,N,"36,669 ",426 ,430 ,"36,671 ",-,20.1 ,169.2 ,157.3 ,11.9 ,"498,887 ","377,915 ","353,347 ","24,568 ","120,972 "
,,P,"5,438 ",389 ,372 ,"5,450 ",-,12.8 ,84.3 ,80.3 ,4.0 ,"116,088 ","111,916 ","105,415 ","6,501 ","4,172 "
,,,,,,,,,,,,,,,,
産   業,,,,,,,毎月勤労統計調査全国調査結果原表,,,,,,,,,
L711,,,自然科学研究所,,令和 7年,C1月分,,,,,,,（ 確 報 ）,確  原  表　―,,103頁
,,,,,,,,,,,,,,,,
"規

模",,"形

態",常　　　用　　　労　　　働　　　者　　　数　　　　,,,,,"出　勤
日　数",実　労　働　時　間　数,,,現　　　　金　　　　給　　　　与　　　　額,,,,
,性,,前調査期間末,本月中の増加,本月中の減少,本調査期間末,,,総    数,所定内,所定外,総　　　　額,"きまって支
給する給与",所定内給与,超過労働給与,"特別に支払
われた給与"
,,,,,,,パートタイム労働者数,,,,,,,,,
,,,人,人,人,人,人,日,時間,時間,時間,円,円,円,円,円
T,T,T,"290,110 ","4,685 ","4,712 ","290,083 ","30,855 ",18.1 ,146.3 ,137.2 ,9.1 ,"621,982 ","458,448 ","434,199 ","24,249 ","163,534 "
,M,T,"197,989 ","2,654 ","3,314 ","197,329 ","12,063 ",18.3 ,150.6 ,140.8 ,9.8 ,"690,860 ","505,625 ",,,"185,235 "
,F,T,"92,121 ","2,032 ","1,399 ","92,754 ","18,792 ",17.6 ,137.0 ,129.4 ,7.6 ,"474,700 ","357,570 ",,,"117,130 "
,,N,"259,421 ","3,551 ","3,747 ","259,228 ",-,18.5 ,152.8 ,142.8 ,10.0 ,"672,098 ","491,524 ","464,748 ","26,776 ","180,574 "
,,P,"30,689 ","1,134 ",965 ,"30,855 ",-,14.1 ,91.1 ,89.9 ,1.2 ,"199,631 ","179,701 ","176,742 ","2,959 ","19,930 "
,,,,,,,,,,,,,,,,
0,T,T,"259,471 ","4,015 ","4,381 ","259,105 ","26,852 ",18.0 ,146.1 ,136.9 ,9.2 ,"635,232 ","464,783 ","439,464 ","25,319 ","170,449 "
,M,T,"179,624 ","2,473 ","3,213 ","178,884 ","10,380 ",18.3 ,150.6 ,140.6 ,10.0 ,"703,057 ","512,053 ",,,"191,004 "
,F,T,"79,847 ","1,542 ","1,169 ","80,220 ","16,472 ",17.5 ,136.2 ,128.7 ,7.5 ,"483,320 ","358,910 ",,,"124,410 "
,,N,"232,683 ","3,083 ","3,518 ","232,252 ",-,18.5 ,152.6 ,142.5 ,10.1 ,"684,835 ","497,149 ","469,259 ","27,890 ","187,686 "
,,P,"26,788 ",931 ,863 ,"26,852 ",-,14.0 ,90.1 ,88.8 ,1.3 ,"205,278 ","184,238 ","181,200 ","3,038 ","21,040 "
,,,,,,,,,,,,,,,,
1,T,T,"63,617 ",646 ,628 ,"63,635 ","2,285 ",17.9 ,151.4 ,137.0 ,14.4 ,"726,447 ","525,720 ","485,085 ","40,635 ","200,727 "
,M,T,"49,447 ",460 ,481 ,"49,426 ","1,044 ",18.1 ,154.5 ,139.2 ,15.3 ,"779,331 ","560,652 ",,,"218,679 "
,F,T,"14,170 ",186 ,147 ,"14,209 ","1,241 ",17.1 ,140.8 ,129.3 ,11.5 ,"542,197 ","404,017 ",,,"138,180 "
,,N,"61,337 ",586 ,572 ,"61,350 ",-,18.1 ,154.5 ,139.7 ,14.8 ,"747,780 ","539,880 ","498,075 ","41,805 ","207,900 "
,,P,"2,280 ",60 ,56 ,"2,285 ",-,10.6 ,67.4 ,63.8 ,3.6 ,"153,073 ","145,145 ","135,935 ","9,210 ","7,928 "
,,,,,,,,,,,,,,,,
3,T,T,"46,527 ",661 ,681 ,"46,507 ","5,099 ",18.0 ,145.9 ,136.7 ,9.2 ,"630,533 ","487,275 ","459,263 ","28,012 ","143,258 "
,M,T,"30,982 ",420 ,445 ,"30,957 ","1,938 ",18.4 ,151.4 ,141.3 ,10.1 ,"724,546 ","554,287 ",,,"170,259 "
,F,T,"15,545 ",241 ,236 ,"15,550 ","3,161 ",17.4 ,134.8 ,127.4 ,7.4 ,"443,271 ","353,796 ",,,"89,475 "
,,N,"41,413 ",476 ,482 ,"41,407 ",-,18.6 ,154.0 ,143.9 ,10.1 ,"688,778 ","528,340 ","497,344 ","30,996 ","160,438 "
,,P,"5,114 ",185 ,198 ,"5,099 ",-,13.4 ,80.0 ,78.1 ,1.9 ,"158,212 ","154,269 ","150,455 ","3,814 ","3,943 "
,,,,,,,,,,,,,,,,
4,T,T,"110,144 ","1,307 ","1,309 ","110,142 ","7,384 ",17.9 ,149.1 ,136.9 ,12.2 ,"685,940 ","509,484 ","474,180 ","35,304 ","176,456 "
,M,T,"80,428 ",880 ,926 ,"80,382 ","2,982 ",18.2 ,153.3 ,140.0 ,13.3 ,"758,231 ","558,201 ",,,"200,030 "
,F,T,"29,715 ",427 ,383 ,"29,759 ","4,402 ",17.3 ,137.6 ,128.3 ,9.3 ,"490,476 ","377,760 ",,,"112,716 "
,,N,"102,750 ","1,063 ","1,055 ","102,758 ",-,18.3 ,154.3 ,141.4 ,12.9 ,"724,003 ","535,230 ","497,781 ","37,449 ","188,773 "
,,P,"7,394 ",244 ,254 ,"7,384 ",-,12.5 ,76.2 ,73.7 ,2.5 ,"156,625 ","151,451 ","145,970 ","5,481 ","5,174 "
,,,,,,,,,,,,,,,,
5,T,T,"94,640 ","1,742 ","2,048 ","94,334 ","9,550 ",18.1 ,145.7 ,138.2 ,7.5 ,"634,792 ","461,732 ","442,615 ","19,117 ","173,060 "
,M,T,"61,520 ",995 ,"1,583 ","60,932 ","3,509 ",18.4 ,150.5 ,142.5 ,8.0 ,"705,205 ","511,070 ",,,"194,135 "
,F,T,"33,120 ",747 ,465 ,"33,402 ","6,041 ",17.7 ,136.8 ,130.4 ,6.4 ,"505,179 ","370,912 ",,,"134,267 "
,,N,"85,238 ","1,342 ","1,798 ","84,785 ",-,18.5 ,150.9 ,142.7 ,8.2 ,"678,750 ","487,233 ","466,288 ","20,945 ","191,517 "
,,P,"9,402 ",401 ,250 ,"9,550 ",-,14.6 ,98.5 ,97.6 ,0.9 ,"240,438 ","232,954 ","230,239 ","2,715 ","7,484 "
,,,,,,,,,,,,,,,,
7,T,T,"54,687 ",965 ,"1,025 ","54,627 ","9,918 ",17.9 ,141.1 ,134.9 ,6.2 ,"533,807 ","379,978 ","364,057 ","15,921 ","153,829 "
