産   業,,,,,,,毎月勤労統計調査全国調査結果原表,,,,,,,,,
TL,,,調　査　産　業　計,,令和 7年,12月分,,,,,,,（ 確 報 ）,確  原  表　―,,1頁
,,,,,,,,,,,,,,,,
"規

模",,"形

態",常　　　用　　　労　　　働　　　者　　　数　　　　,,,,,"出　勤
日　数",実　労　働　時　間　数,,,現　　　　金　　　　給　　　　与　　　　額,,,,
,性,,前調査期間末,本月中の増加,本月中の減少,本調査期間末,,,総    数,所定内,所定外,総　　　　額,"きまって支
給する給与",所定内給与,超過労働給与,"特別に支払
われた給与"
,,,,,,,パートタイム労働者数,,,,,,,,,
,,,人,人,人,人,人,日,時間,時間,時間,円,円,円,円,円
,,,,,,,パートタイム労働者数,,,,,,,,,
,,,人,人,人,人,人,日,時間,時間,時間,円,円,円,円,円
T,T,T,"2,615,245 ","23,231 ","22,611 ","2,615,865 ","152,659 ",19.6 ,160.2 ,147.2 ,13.0 ,"817,659 ","370,511 ","343,480 ","27,031 ","447,148 "
,M,T,"2,093,514 ","17,950 ","19,503 ","2,091,961 ","48,520 ",20.0 ,165.8 ,151.0 ,14.8 ,"882,867 ","399,675 ",,,"483,192 "
,F,T,"521,731 ","5,281 ","3,108 ","523,904 ","104,139 ",18.1 ,137.7 ,131.8 ,5.9 ,"556,645 ","253,772 ",,,"302,873 "
,,N,"2,464,047 ","18,104 ","18,750 ","2,463,206 ",-,20.0 ,165.0 ,151.3 ,13.7 ,"858,443 ","385,765 ","357,271 ","28,494 ","472,678 "
,,P,"151,198 ","5,127 ","3,861 ","152,659 ",-,13.7 ,82.0 ,80.5 ,1.5 ,"156,316 ","123,154 ","119,855 ","3,299 ","33,162 "
,,,,,,,,,,,,,,,,
0,T,T,"1,013,888 ","4,684 ","7,185 ","1,011,387 ","34,107 ",18.9 ,159.1 ,143.2 ,15.9 ,"1,136,944 ","424,853 ","388,102 ","36,751 ","712,091 "
,M,T,"813,086 ","3,290 ","5,753 ","810,623 ","10,786 ",19.1 ,163.4 ,145.6 ,17.8 ,"1,223,627 ","456,945 ",,,"766,682 "
,F,T,"200,802 ","1,394 ","1,432 ","200,764 ","23,321 ",17.9 ,141.9 ,133.4 ,8.5 ,"786,447 ","295,093 ",,,"491,354 "
,,N,"979,530 ","4,271 ","6,520 ","977,280 ",-,19.0 ,161.5 ,145.1 ,16.4 ,"1,170,184 ","434,611 ","396,718 ","37,893 ","735,573 "
,,P,"34,358 ",413 ,665 ,"34,107 ",-,14.2 ,90.3 ,88.5 ,1.8 ,"186,878 ","145,951 ","141,828 ","4,123 ","40,927 "
,,,,,,,,,,,,,,,,
1,T,T,"59,254 ",216 ,310 ,"59,160 ",223 ,18.6 ,159.7 ,138.4 ,21.3 ,"1,828,409 ","586,951 ","530,483 ","56,468 ","1,241,458 "
,M,T,"48,865 ",164 ,254 ,"48,775 ",123 ,18.8 ,162.6 ,140.0 ,22.6 ,"1,924,093 ","617,767 ",,,"1,306,326 "
,F,T,"10,389 ",52 ,56 ,"10,385 ",100 ,17.6 ,146.1 ,131.0 ,15.1 ,"1,378,690 ","442,115 ",,,"936,575 "
,,N,"59,026 ",215 ,304 ,"58,937 ",-,18.6 ,159.9 ,138.5 ,21.4 ,"1,833,663 ","588,149 ","531,514 ","56,635 ","1,245,514 "
,,P,228 ,1 ,6 ,223 ,-,15.7 ,108.6 ,104.7 ,3.9 ,"454,196 ","273,557 ","260,683 ","12,874 ","180,639 "
,,,,,,,,,,,,,,,,
3,T,T,"45,401 ",258 ,319 ,"45,340 ",472 ,18.7 ,161.4 ,141.4 ,20.0 ,"1,893,516 ","528,274 ","478,880 ","49,394 ","1,365,242 "
,M,T,"36,692 ",180 ,234 ,"36,638 ",186 ,18.9 ,164.5 ,143.0 ,21.5 ,"2,040,366 ","562,724 ",,,"1,477,642 "
,F,T,"8,709 ",78 ,85 ,"8,702 ",286 ,18.0 ,148.0 ,134.5 ,13.5 ,"1,275,028 ","383,181 ",,,"891,847 "
,,N,"44,936 ",246 ,314 ,"44,868 ",-,18.8 ,162.1 ,142.0 ,20.1 ,"1,910,806 ","532,120 ","482,276 ","49,844 ","1,378,686 "
,,P,465 ,12 ,5 ,472 ,-,14.1 ,89.9 ,87.1 ,2.8 ,"236,359 ","159,620 ","153,415 ","6,205 ","76,739 "
,,,,,,,,,,,,,,,,
4,T,T,"104,655 ",474 ,629 ,"104,500 ",695 ,18.7 ,160.4 ,139.7 ,20.7 ,"1,856,655 ","561,494 ","508,095 ","53,399 ","1,295,161 "
,M,T,"85,557 ",344 ,488 ,"85,413 ",309 ,18.8 ,163.4 ,141.3 ,22.1 ,"1,973,962 ","594,158 ",,,"1,379,804 "
