時間軸コード,月,消費支出（名目）,食料（名目）,住居（名目）,光熱・水道（名目）,家具・家事用品（名目）,被服及び履物（名目）,保健医療（名目）,交通・通信（名目）,教育（名目）,教養娯楽（名目）,その他の消費支出（名目）,消費支出（実質）,食料（実質）,住居（実質）,光熱・水道（実質）,家具・家事用品（実質）,被服及び履物（実質）,保健医療（実質）,交通・通信（実質）,教育（実質）,教養娯楽（実質）
2021000303,2021年3月,111.3314,26.6428,9.8046,9.0664,4.3922,3.644,5.1477,19.6696,4.9575,10.1043,17.902,111.4428,26.8848,9.6312,9.318,4.3315,3.6367,5.158,19.6303,5.0025,10.0142
2021000404,2021年4月,106.4194,25.5509,9.1869,7.6679,3.986,3.3986,4.8874,17.5031,8.311,9.927,16.0002,107.6031,25.809,9.0156,7.761,3.931,3.3451,4.907,18.7801,8.2944,9.7803
2021000505,2021年5月,99.7548,26.5373,8.5422,6.9696,4.5127,3.1343,4.9059,16.9418,3.7358,9.0245,15.4502,100.5593,26.7243,8.3829,6.9212,4.446,3.088,4.9207,18.1196,3.7247,8.8562
2021000606,2021年6月,95.3163,25.733,8.6857,6.3524,4.8535,3.2886,5.1134,15.2194,2.235,8.9379,14.8978,95.8916,25.7588,8.5237,6.2647,4.7724,3.256,5.1339,16.2774,2.2283,8.8406
2021000707,2021年7月,98.2269,27.25,8.3702,5.8471,5.3463,3.0847,5.0477,16.381,2.1766,9.3646,15.3584,98.6214,27.3595,8.2061,5.7325,5.2261,3.1065,5.0629,17.316,2.17,9.1451
2021000808,2021年8月,96.2442,27.4056,8.514,6.4487,4.8733,2.2213,4.9071,15.1339,2.27,9.429,15.0417,96.6307,27.433,8.3471,6.3222,4.7637,2.2643,4.9169,16.1343,2.2632,9.1367
2021000909,2021年9月,97.5315,25.673,8.3875,6.5675,3.9691,2.4187,5.19,16.3407,4.6235,8.6385,15.7226,97.4341,25.3186,8.207,6.3701,3.9066,2.3783,5.2056,17.4767,4.605,8.5025
2021001010,2021年10月,101.3564,26.9265,8.7554,6.5345,4.198,3.3474,5.3523,16.4446,5.5961,9.6994,14.5022,101.4578,26.7128,8.5669,6.2591,4.1278,3.2882,5.3846,17.8165,5.5738,9.4999
2021001111,2021年11月,101.4402,26.7162,8.6127,6.7541,4.3483,4.0703,5.5075,16.7114,2.9006,9.8465,15.9724,101.3389,26.5041,8.4191,6.3718,4.2588,3.9787,5.5407,18.0079,2.889,9.6819
2021001212,2021年12月,114.6421,33.4348,9.3436,7.576,4.9486,4.1964,5.1626,16.7935,3.0029,11.4082,18.7755,114.5276,33.1366,9.1246,7.0738,4.8996,4.1425,5.199,18.1552,2.991,11.1955
2022000101,2022年1月,100.619,25.5473,7.7469,9.3879,4.1682,3.2266,4.665,16.7045,2.3788,9.004,17.7896,100.2182,25.0464,7.5727,8.6685,4.1351,3.246,4.7026,18.0785,2.3693,8.8797
2022000202,2022年2月,92.9346,24.0807,7.4342,10.5983,3.37,2.2664,4.4272,15.7576,2.8555,8.3952,13.7491,92.1971,23.5393,7.2529,9.5394,3.3532,2.2732,4.454,16.9985,2.8469,8.2467
2022000303,2022年3月,108.7261,26.8217,8.1304,10.4049,4.1194,3.6891,4.97,18.5744,4.5562,10.2292,17.2311,107.3308,26.1675,7.9244,9.1835,4.0466,3.6562,5,19.9297,4.5335,10.009
2022000404,2022年4月,106.1148,26.275,8.2477,9.1784,4.0731,3.671,4.8084,15.9011,8.0478,10.4279,15.4849,104.2385,25.5345,7.9842,8.0301,3.9278,3.5849,4.8619,17.0979,7.9603,10.1143
2022000505,2022年5月,102.8738,27.904,8.2316,8.095,4.5167,3.5509,4.8463,16.1908,3.7358,10.4383,15.3644,100.7579,26.9864,7.9455,7.0269,4.2975,3.4677,4.8952,17.447,3.6952,10.0756
2022000606,2022年6月,99.8591,26.6561,9.0717,7.0434,4.8443,3.3563,5.3124,15.9104,2.1677,10.2095,15.2874,97.8052,25.7299,8.7227,6.0929,4.583,3.2873,5.3661,17.1263,2.1462,9.98
2022000707,2022年7月,101.7811,28.0015,8.7993,6.555,5.1702,3.2052,5.2214,16.916,2.2716,10.1724,15.468,99.1052,26.9245,8.4446,5.6026,4.8638,3.1829,5.2688,17.9385,2.2491,9.857
2022000808,2022年8月,102.7432,28.9628,8.5793,7.2626,4.6613,2.5517,5.1992,16.1928,2.4066,11.0318,15.8954,99.5574,27.7156,8.2256,6.1599,4.3645,2.5619,5.2464,17.1716,2.3828,10.5165
2022000909,2022年9月,102.0462,27.4422,8.539,7.4906,4.447,2.7793,4.9164,17.0063,4.6311,9.9698,14.8253,98.5002,25.9869,8.1713,6.3212,4.1024,2.6827,4.956,18.0726,4.5853,9.6048
2022001010,2022年10月,106.9585,28.6622,9.566,7.6042,4.422,4.0191,5.3205,16.6541,4.7149,10.5512,15.4442,102.5489,26.7621,9.0076,6.3527,4.0681,3.8497,5.3419,17.6796,4.6682,10.2439
2022001111,2022年11月,103.4314,27.8246,9.1603,7.5797,4.3301,3.897,5.4398,16.6207,2.812,10.4484,15.3181,98.8828,25.8113,8.5932,6.2642,3.9509,3.7079,5.4561,17.6253,2.7841,10.2839
2022001212,2022年12月,120.1609,34.8273,9.284,8.8887,5.5155,4.4494,5.5752,17.798,3.1166,12.0452,18.6615,114.548,32.2774,8.6847,7.209,5.0787,4.2701,5.5975,18.8538,3.0857,11.8206
2023000101,2023年1月,107.2813,27.5776,8.0744,11.4154,4.0815,3.6383,4.7653,16.8072,2.4477,10.4093,18.0639,101.6884,25.185,7.5392,9.169,3.7618,3.5461,4.7796,17.8043,2.4235,10.1062
2023000202,2023年2月,99.8084,26.1706,8.0168,12.0416,3.4659,2.5879,4.8983,15.9418,2.6194,10.1595,13.9067,95.328,23.7915,7.4575,10.8678,3.1739,2.5077,4.8836,16.9054,2.5857,9.8255
2023000303,2023年3月,114.5612,28.7799,8.4036,10.778,4.3362,3.949,5.4374,19.8646,4.4808,11.5294,17.0023,108.8984,26.0687,7.8101,9.7804,3.8924,3.7753,5.3996,20.9985,4.419,11.033
2023000404,2023年4月,111.165,28.041,8.3452,8.9129,3.9913,3.6363,5.1618,18.6385,7.8601,11.1326,15.4446,104.8726,25.1263,7.7414,8.11,3.4981,3.4208,5.131,19.7024,7.6759,10.4728
2023000505,2023年5月,104.3589,29.4588,7.9459,7.6675,4.4321,3.6339,5.0066,16.5768,3.9929,11.1914,14.453,98.4518,26.2556,7.3505,7.2609,3.8473,3.4185,4.9522,17.4676,3.8993,10.4495
2023000606,2023年6月,100.503,27.8355,8.7324,6.6836,4.418,3.4417,5.1195,17.001,2.2886,10.4367,14.5461,94.7248,24.8088,8.0706,6.1885,3.8484,3.2438,5.0538,17.9147,2.2349,9.8553
2023000707,2023年7月,106.023,30.1345,8.4117,6.1578,5.6086,3.6931,5.1996,18.3943,2.1455,10.8521,15.4256,99.3655,26.6441,7.767,5.8202,4.8643,3.524,5.1329,19.0813,2.0952,10.039
2023000808,2023年8月,105.6599,31.2421,8.4306,6.4789,4.6992,2.6331,5.1336,17.3274,2.2245,11.9924,15.4974,98.7476,27.5261,7.7773,6.2659,4.1077,2.5318,5.0627,17.7899,2.1724,10.8923
2023000909,2023年9月,102.2174,28.9858,8.0354,6.5091,4.31,2.4691,5.0538,17.4942,4.3048,10.4375,14.6174,95.2632,25.205,7.399,6.4129,3.7478,2.3054,4.9742,17.9797,4.2039,9.611
2023001010,2023年10月,108.9054,29.7852,8.981,6.7678,4.2894,3.7983,5.7363,18.3681,5.1344,11.131,14.9139,100.4663,25.6106,8.2546,6.2839,3.6914,3.5333,5.6294,18.8973,5.014,10.156
2023001111,2023年11月,105.9367,29.4125,8.3903,6.6997,4.7613,4.2637,5.3129,17.6816,2.8369,11.1954,15.3825,97.9988,25.4433,7.7117,6.2497,4.0939,3.9478,5.1985,18.2472,2.7704,10.2522
2023001212,2023年12月,119.5037,36.6315,8.9782,7.6772,5.3032,4.1992,5.644,17.4874,3.0066,12.5786,17.9983,110.6516,31.7982,8.2293,7.1682,4.5836,3.9099,5.5334,18.0096,2.9361,11.456
2024000101,2024年1月,105.525,28.3657,7.4342,8.9568,4.3608,3.6863,4.9684,16.3882,2.7322,10.5012,18.1316,97.5277,24.5166,6.8017,8.3552,3.7723,3.4875,4.8662,16.8603,2.6681,9.5465
2024000202,2024年2月,101.5188,28.1352,7.9705,9.5394,3.6053,2.9433,5.354,16.086,3.1226,10.4472,14.3148,93.9119,24.4018,7.2923,8.8822,3.1405,2.7793,5.2438,16.5835,3.0435,9.4119
2024000303,2024年3月,116.5048,30.9162,8.4975,9.454,4.4349,4.0658,5.6263,20.2945,4.6859,11.8151,16.7142,107.3777,26.721,7.7674,8.7295,3.8598,3.7998,5.5052,20.9437,4.5627,10.5398
2024000404,2024年4月,112.7388,28.5543,8.3448,8.6953,4.1533,3.9204,5.1134,18.375,8.4153,11.1338,16.0332,103.4301,24.5312,7.6208,7.992,3.5498,3.6066,5.0181,18.9043,8.2991,9.8616
2024000505,2024年5月,107.5601,29.9044,8.7936,7.4834,4.5098,3.6017,5.2419,16.8588,4.3789,11.2857,15.5018,98.2284,25.6031,8.0161,6.646,3.8026,3.3134,5.1291,17.3623,4.3227,10.005
