産   業,,,,,,,毎月勤労統計調査全国調査結果原表,,,,,,,,,
TL,,,調　査　産　業　計,,令和 8年,1月分,,,,,,,（ 確 報 ）,確  原  表　―,,1頁
,,,,,,,,,,,,,,,,
"規

模",,"形

態",常　　　用　　　労　　　働　　　者　　　数　　　　,,,,,"出　勤
日　数",実　労　働　時　間　数,,,現　　　　金　　　　給　　　　与　　　　額,,,,
,性,,前調査期間末,本月中の増加,本月中の減少,本調査期間末,,,総    数,所定内,所定外,総　　　　額,"きまって支
給する給与",所定内給与,超過労働給与,"特別に支払
われた給与"
,,,,,,,パートタイム労働者数,,,,,,,,,
,,,人,人,人,人,人,日,時間,時間,時間,円,円,円,円,円
,M,T,"251,413 ",985 ,"1,393 ","251,005 ","6,629 ",18.2 ,157.4 ,140.0 ,17.4 ,"469,501 ","459,805 ",,,"9,696 "
,F,T,"70,855 ",272 ,470 ,"70,657 ","17,197 ",17.3 ,133.0 ,124.5 ,8.5 ,"271,521 ","267,416 ",,,"4,105 "
,,N,"298,517 ","1,090 ","1,771 ","297,836 ",-,18.2 ,156.4 ,139.9 ,16.5 ,"449,161 ","440,091 ","402,402 ","37,689 ","9,070 "
,,P,"23,751 ",167 ,92 ,"23,826 ",-,15.6 ,98.1 ,96.0 ,2.1 ,"135,574 ","134,671 ","131,317 ","3,354 ",903 
,,,,,,,,,,,,,,,,
7,T,T,"583,908 ","2,759 ","5,449 ","581,218 ","15,372 ",18.0 ,151.2 ,136.8 ,14.4 ,"420,951 ","403,928 ","369,462 ","34,466 ","17,023 "
,M,T,"473,685 ","1,589 ","4,610 ","470,664 ","6,480 ",18.2 ,154.7 ,138.2 ,16.5 ,"449,788 ","431,459 ",,,"18,329 "
,F,T,"110,223 ","1,170 ",839 ,"110,554 ","8,892 ",17.4 ,136.3 ,131.0 ,5.3 ,"297,602 ","286,167 ",,,"11,435 "
,,N,"568,796 ","2,238 ","5,188 ","565,846 ",-,18.2 ,152.8 ,138.1 ,14.7 ,"427,716 ","410,246 ","374,985 ","35,261 ","17,470 "
,,P,"15,112 ",521 ,261 ,"15,372 ",-,13.8 ,90.6 ,88.7 ,1.9 ,"169,167 ","168,774 ","163,898 ","4,876 ",393 
,,,,,,,,,,,,,,,,
9,T,T,"1,605,054 ","15,083 ","20,439 ","1,599,698 ","107,814 ",18.1 ,144.9 ,134.9 ,10.0 ,"355,330 ","339,264 ","319,447 ","19,817 ","16,066 "
,M,T,"1,306,353 ","12,958 ","15,870 ","1,303,441 ","37,788 ",18.5 ,150.5 ,138.9 ,11.6 ,"380,983 ","364,157 ",,,"16,826 "
,F,T,"298,701 ","2,125 ","4,569 ","296,257 ","70,026 ",16.3 ,120.4 ,117.2 ,3.2 ,"242,810 ","230,075 ",,,"12,735 "
,,N,"1,497,107 ","12,955 ","18,159 ","1,491,884 ",-,18.5 ,150.3 ,139.6 ,10.7 ,"373,018 ","355,917 ","334,857 ","21,060 ","17,101 "
,,P,"107,947 ","2,128 ","2,280 ","107,814 ",-,12.0 ,71.1 ,70.0 ,1.1 ,"110,303 ","108,574 ","105,977 ","2,597 ","1,729 "
,,,,,,,,,,,,,,,,
産   業,,,,,,,毎月勤労統計調査全国調査結果原表,,,,,,,,,
E,,,製造業,,令和 8年,1月分,,,,,,,（ 確 報 ）,確  原  表　―,,4頁
,,,,,,,,,,,,,,,,
"規

模",,"形

態",常　　　用　　　労　　　働　　　者　　　数　　　　,,,,,"出　勤
日　数",実　労　働　時　間　数,,,現　　　　金　　　　給　　　　与　　　　額,,,,
,性,,前調査期間末,本月中の増加,本月中の減少,本調査期間末,,,総    数,所定内,所定外,総　　　　額,"きまって支
給する給与",所定内給与,超過労働給与,"特別に支払
われた給与"
,,,,,,,パートタイム労働者数,,,,,,,,,
,,,人,人,人,人,人,日,時間,時間,時間,円,円,円,円,円
T,T,T,"7,672,869 ","60,683 ","74,730 ","7,658,822 ","971,201 ",17.4 ,145.2 ,132.5 ,12.7 ,"348,982 ","337,361 ","306,604 ","30,757 ","11,621 "
,M,T,"5,334,956 ","40,419 ","47,239 ","5,328,136 ","262,684 ",17.7 ,151.9 ,137.0 ,14.9 ,"398,368 ","384,991 ",,,"13,377 "
,F,T,"2,337,913 ","20,264 ","27,491 ","2,330,686 ","708,517 ",16.7 ,129.8 ,122.1 ,7.7 ,"236,182 ","228,573 ",,,"7,609 "
,,N,"6,697,783 ","48,320 ","58,593 ","6,687,621 ",-,17.7 ,151.3 ,137.4 ,13.9 ,"379,862 ","366,758 ","332,605 ","34,153 ","13,104 "
,,P,"975,086 ","12,363 ","16,137 ","971,201 ",-,15.4 ,102.7 ,98.1 ,4.6 ,"136,600 ","135,182 ","127,784 ","7,398 ","1,418 "
,,,,,,,,,,,,,,,,
0,T,T,"5,959,666 ","44,896 ","57,853 ","5,946,709 ","617,999 ",17.5 ,148.8 ,134.5 ,14.3 ,"369,287 ","357,678 ","321,739 ","35,939 ","11,609 "
,M,T,"4,252,075 ","29,546 ","37,755 ","4,243,866 ","173,037 ",17.8 ,154.1 ,137.8 ,16.3 ,"416,045 ","402,793 ",,,"13,252 "
,F,T,"1,707,591 ","15,350 ","20,098 ","1,702,843 ","444,962 ",16.9 ,135.4 ,126.1 ,9.3 ,"252,805 ","245,289 ",,,"7,516 "
,,N,"5,339,101 ","36,948 ","46,965 ","5,328,710 ",-,17.7 ,152.9 ,137.7 ,15.2 ,"394,427 ","381,639 ","342,766 ","38,873 ","12,788 "
,,P,"620,565 ","7,948 ","10,888 ","617,999 ",-,15.9 ,112.9 ,106.3 ,6.6 ,"152,756 ","151,307 ","140,644 ","10,663 ","1,449 "
,,,,,,,,,,,,,,,,
1,T,T,"1,048,879 ","8,822 ","10,607 ","1,047,094 ","20,084 ",17.6 ,153.9 ,136.2 ,17.7 ,"475,226 ","464,475 ","408,149 ","56,326 ","10,751 "
,M,T,"885,750 ","7,274 ","8,738 ","884,286 ","7,326 ",17.8 ,156.3 ,137.5 ,18.8 ,"496,512 ","485,933 ",,,"10,579 "
,F,T,"163,129 ","1,548 ","1,869 ","162,808 ","12,758 ",16.9 ,140.9 ,129.2 ,11.7 ,"359,634 ","347,947 ",,,"11,687 "
,,N,"1,028,879 ","8,465 ","10,334 ","1,027,010 ",-,17.7 ,154.4 ,136.6 ,17.8 ,"480,539 ","469,621 ","412,581 ","57,040 ","10,918 "
,,P,"20,000 ",357 ,273 ,"20,084 ",-,16.3 ,127.2 ,117.2 ,10.0 ,"202,739 ","200,521 ","180,803 ","19,718 ","2,218 "
,,,,,,,,,,,,,,,,
3,T,T,"768,150 ","5,833 ","7,486 ","766,497 ","87,559 ",17.5 ,151.0 ,134.8 ,16.2 ,"397,523 ","384,504 ","341,442 ","43,062 ","13,019 "
,M,T,"563,557 ","3,805 ","5,088 ","562,274 ","28,112 ",17.8 ,155.5 ,137.7 ,17.8 ,"442,084 ","427,421 ",,,"14,663 "
,F,T,"204,593 ","2,028 ","2,398 ","204,223 ","59,447 ",16.8 ,138.1 ,126.5 ,11.6 ,"274,807 ","266,315 ",,,"8,492 "
