時間軸コード,月,消費支出（名目）,食料（名目）,住居（名目）,光熱・水道（名目）,家具・家事用品（名目）,被服及び履物（名目）,保健医療（名目）,交通・通信（名目）,教育（名目）,教養娯楽（名目）,その他の消費支出（名目）,消費支出（実質）,食料（実質）,住居（実質）,光熱・水道（実質）,家具・家事用品（実質）,被服及び履物（実質）,保健医療（実質）,交通・通信（実質）,教育（実質）,教養娯楽（実質）,その他の消費支出（実質）
2023000404,2023年4月,98.7711,24.9147,7.4148,7.9192,3.5463,3.2309,4.5863,16.5605,6.9838,9.8914,13.7227,106.3198,28.0887,7.7805,8.4157,3.7807,3.3761,4.7526,17.5058,6.626,10.7632,14.7714
2023000505,2023年5月,92.7238,26.1744,7.06,6.8126,3.938,3.2288,4.4484,14.7286,3.5477,9.9437,12.8416,99.703,29.3435,7.3849,7.5361,4.1584,3.3738,4.5907,15.5365,3.366,10.7267,13.8082
2023000606,2023年6月,89.2978,24.7321,7.7588,5.9384,3.9254,3.058,4.5487,15.1055,2.0334,9.2731,12.9243,95.916,27.7266,8.1159,6.4269,4.1583,3.2021,4.6798,15.9173,1.9293,10.1235,13.8822
2023000707,2023年7月,94.2024,26.7748,7.4739,5.4713,4.9833,3.2814,4.6199,16.3435,1.9063,9.6422,13.7058,100.6436,29.7828,7.8097,6.0456,5.2566,3.476,4.753,16.9538,1.8086,10.3125,14.6429
2023000808,2023年8月,93.8798,27.7589,7.4907,5.7566,4.1753,2.3395,4.5612,15.3956,1.9765,10.6554,13.7696,100.085,30.7407,7.8191,6.5046,4.4418,2.4995,4.6878,15.8065,1.8752,11.1926,14.6797
2023000909,2023年9月,90.8211,25.7541,7.1395,5.7834,3.8295,2.1938,4.4903,15.5438,3.8249,9.2738,12.9877,96.5155,28.1774,7.4293,6.6552,4.0481,2.2734,4.6102,15.9751,3.6255,9.8763,13.802
2023001010,2023年10月,96.7634,26.4644,7.9797,6.0133,3.8112,3.3748,5.0968,16.3202,4.562,9.89,13.2511,101.7491,28.6102,8.2949,6.522,3.9908,3.4864,5.2167,16.8076,4.3241,10.4325,13.9339
2023001111,2023年11月,94.1257,26.1333,7.4549,5.9527,4.2305,3.7883,4.7206,15.7103,2.5206,9.9472,13.6675,99.2887,28.4366,7.7493,6.4915,4.4252,3.8935,4.8169,16.2129,2.3892,10.5262,14.4172
2023001212,2023年12月,106.1801,32.5474,7.9772,6.8213,4.7119,3.731,5.0147,15.5377,2.6714,11.1762,15.9917,112.1226,35.5321,8.2751,7.4468,4.9547,3.8584,5.1276,16.0018,2.5321,11.7644,16.8866
2024000101,2024年1月,93.7599,25.2032,6.6054,7.9582,3.8746,3.2753,4.4145,14.5611,2.4276,9.3304,16.1101,98.9029,27.3948,6.8378,8.6785,4.0742,3.4405,4.5092,14.9959,2.301,9.8112,16.9938
2024000202,2024年2月,90.2004,24.9984,7.0819,8.4758,3.2033,2.6151,4.7571,14.2926,2.7745,9.2824,12.7188,95.1481,27.2908,7.3235,9.2229,3.3934,2.7412,4.8591,14.7346,2.6248,9.6692,13.4165
2024000303,2024年3月,103.5156,27.4693,7.5501,8.4,3.9404,3.6125,4.999,18.0318,4.1635,10.4978,14.8507,108.8492,29.858,7.8078,9.0614,4.1698,3.7513,5.101,18.6279,3.9352,10.8225,15.6159
2024000404,2024年4月,100.1694,25.3708,7.4144,7.7259,3.6902,3.4833,4.5433,16.3264,7.4771,9.8925,14.2456,104.7797,27.4278,7.6595,8.2984,3.836,3.5617,4.6503,16.7967,7.1551,10.1357,14.9013
2024000505,2024年5月,95.5681,26.5703,7.8132,6.6491,4.007,3.2001,4.6575,14.9792,3.8907,10.0274,13.7735,99.5501,28.6318,8.0548,6.9045,4.1097,3.2721,4.7525,15.4425,3.7267,10.2846,14.3474
2024000606,2024年6月,92.8831,26.0345,8.0939,5.9577,4.6571,3.1797,4.6675,15.5334,2.1369,9.6282,12.9937,96.6526,28.1758,8.3442,5.9997,4.757,3.2579,4.7386,15.9644,2.0488,9.9568,13.5211
2024000707,2024年7月,95.8241,27.0085,8.2253,5.9327,5.0874,3.0612,4.7359,15.6454,2.1136,10.4717,13.5422,99.2996,29.1984,8.4535,5.805,5.1754,3.1722,4.8032,16.0301,2.0264,10.7292,14.0334
2024000808,2024年8月,97.1458,29.1336,7.7745,6.4697,4.6052,2.4422,4.7785,14.7583,2.1226,10.9622,14.0997,100.0471,31.1589,7.9657,6.3553,4.6565,2.552,4.8414,15.1212,2.0351,10.9841,14.5208
2024000909,2024年9月,94.9638,26.6968,7.6422,6.8749,3.8584,2.4311,4.4703,16.0016,4.0679,9.7697,13.1513,98.1031,28.2207,7.8141,7.2674,3.8896,2.4607,4.5154,16.4288,3.8964,9.9691,13.586
2024001010,2024年10月,97.9248,27.2405,7.7853,6.6738,3.7611,3.0361,4.9429,15.9576,4.7366,10.1326,13.6582,100.4357,28.4645,7.9039,7.0176,3.7724,3.0637,4.9727,16.35,4.537,10.2661,14.0085
2024001111,2024年11月,96.2862,27.3658,8.1734,6.2463,4.0532,3.6193,4.9983,15.4474,2.7476,10.1438,13.4917,98.2512,28.3878,8.2894,6.3803,4.09,3.6266,5.0234,15.7949,2.6318,10.2774,13.7671
2024001212,2024年12月,111.7548,34.0503,8.332,7.3704,4.896,3.9473,5.4057,16.2307,2.5858,11.8683,17.0684,113.2267,34.9593,8.4503,7.2188,4.9959,3.9671,5.4329,16.5451,2.4768,12.0246,17.2932
2025000101,2025年1月,97.8718,26.6241,7.1603,9.1249,3.5311,3.2634,4.6637,14.809,2.4674,9.6106,16.6169,98.661,26.893,7.2326,8.9284,3.5885,3.3266,4.7251,14.9888,2.4166,9.847,16.7509
2025000202,2025年2月,92.843,25.7222,7.455,9.8824,3.1375,2.3733,4.5896,14.5739,2.9239,9.5207,12.6649,93.9706,26.061,7.5227,10.1254,3.195,2.4168,4.6548,14.736,2.8609,9.6952,12.8187
2025000303,2025年3月,107.0266,28.9793,7.4835,9.5407,3.9884,3.4437,4.784,17.7991,3.9636,10.8317,16.2126,107.9986,29.3313,7.5439,9.7453,4.0409,3.475,4.8421,17.9608,3.8782,10.9411,16.3598
2025000404,2025年4月,102.437,26.9799,7.7231,8.3396,3.8095,3.4867,4.734,15.3947,7.0352,10.8036,14.1307,102.8484,27.3076,7.7463,8.2652,3.8095,3.4728,4.734,15.4721,7.0776,10.7392,14.1874
