時間軸コード,月,消費支出（名目）,食料（名目）,住居（名目）,光熱・水道（名目）,家具・家事用品（名目）,被服及び履物（名目）,保健医療（名目）,交通・通信（名目）,教育（名目）,教養娯楽（名目）,その他の消費支出（名目）,消費支出（実質）,食料（実質）,住居（実質）,光熱・水道（実質）,家具・家事用品（実質）,被服及び履物（実質）,保健医療（実質）,交通・通信（実質）,教育（実質）,教養娯楽（実質）,その他の消費支出（実質）
2023000707,2023年7月,95.0545,26.9679,7.6946,5.5199,5.0119,3.2882,4.7064,16.4034,1.8094,9.7436,13.9089,101.554,29.9976,8.0403,6.0993,5.2868,3.4833,4.8419,17.016,1.7167,10.421,14.8599
2023000808,2023年8月,94.6935,27.9508,7.7634,5.8004,4.2083,2.3449,4.6196,15.4264,1.8931,10.7097,13.9766,100.9526,30.9533,8.1037,6.5541,4.4769,2.5053,4.7478,15.8382,1.7961,11.2497,14.9004
2023000909,2023年9月,91.4777,25.8845,7.377,5.8254,3.8462,2.196,4.5306,15.5741,3.704,9.3962,13.1436,97.2133,28.3201,7.6764,6.7035,4.0657,2.2757,4.6516,16.0063,3.5109,10.0066,13.9677
2023001010,2023年10月,97.5457,26.601,8.2299,6.0533,3.8216,3.3819,5.1652,16.4034,4.4476,9.9954,13.4461,102.5717,28.7579,8.5549,6.5654,4.0016,3.4937,5.2868,16.8933,4.2157,10.5437,14.1389
2023001111,2023年11月,94.924,26.2849,7.6847,5.9996,4.2638,3.8076,4.7781,15.7222,2.4324,10.0561,13.8945,100.1308,28.6016,7.9883,6.5427,4.46,3.9133,4.8756,16.2252,2.3056,10.6414,14.6567
2023001212,2023年12月,107.1835,32.7796,8.2471,6.8826,4.7317,3.7518,5.0982,15.6233,2.5663,11.303,16.1998,113.1821,35.7856,8.5551,7.5137,4.9755,3.8798,5.2129,16.09,2.4325,11.8979,17.1064
2024000101,2024年1月,94.4359,25.2787,6.8183,8.0092,3.9047,3.265,4.4443,14.5927,2.3185,9.4227,16.3818,99.6159,27.4769,7.0582,8.7342,4.1059,3.4296,4.5397,15.0285,2.1976,9.9083,17.2804
2024000202,2024年2月,90.8084,25.0909,7.3641,8.5324,3.2003,2.6114,4.8446,14.2713,2.646,9.3719,12.8748,95.7894,27.3918,7.6154,9.2844,3.3902,2.7373,4.9485,14.7127,2.5033,9.7624,13.581
2024000303,2024年3月,104.0728,27.5421,7.7895,8.4449,3.9333,3.5922,5.0817,18.0499,4.0109,10.5597,15.0694,109.4351,29.9371,8.0553,9.1099,4.1622,3.7302,5.1854,18.6466,3.791,10.8863,15.8458
2024000404,2024年4月,100.6428,25.4633,7.6667,7.7556,3.6999,3.4632,4.6181,16.2895,7.2421,9.9951,14.4492,105.2748,27.5279,7.9201,8.3304,3.8461,3.5411,4.7268,16.7587,6.9303,10.2408,15.1143
2024000505,2024年5月,96.0694,26.6426,8.1273,6.6679,4.009,3.1982,4.6969,14.9507,3.7373,10.1079,13.9317,100.0723,28.7097,8.3787,6.9241,4.1118,3.2701,4.7927,15.4131,3.5798,10.3671,14.5122
2024000606,2024年6月,93.2323,26.103,8.3692,5.9764,4.6571,3.1904,4.6733,15.3969,2.0306,9.7161,13.1186,97.0159,28.25,8.628,6.0186,4.757,3.2688,4.7445,15.8242,1.9469,10.0476,13.651
2024000707,2024年7月,96.287,27.0903,8.5063,5.95,5.0759,3.0695,4.7751,15.5976,1.9913,10.5704,13.6612,99.7793,29.2868,8.7423,5.8219,5.1636,3.1808,4.8429,15.9812,1.9092,10.8303,14.1566
2024000808,2024年8月,97.5031,29.1882,8.0619,6.4996,4.6141,2.4295,4.827,14.6805,1.9917,10.9762,14.2342,100.4151,31.2173,8.2601,6.3847,4.6654,2.5387,4.8905,15.0415,1.9095,10.9982,14.6593
2024000909,2024年9月,95.2975,26.6941,7.906,6.8859,3.8521,2.4302,4.5226,15.9418,3.8822,9.8634,13.3193,98.4478,28.2178,8.0838,7.2789,3.8832,2.4597,4.5683,16.3673,3.7186,10.0647,13.7596
2024001010,2024年10月,98.1654,27.2491,8.0273,6.6933,3.7748,3.0228,4.9832,15.8164,4.5806,10.2134,13.8049,100.6825,28.4735,8.1496,7.0381,3.7862,3.0502,5.0132,16.2053,4.3876,10.3479,14.1588
2024001111,2024年11月,96.6613,27.3792,8.4559,6.2503,4.048,3.5973,5.0196,15.4068,2.6188,10.2094,13.6758,98.6339,28.4017,8.576,6.3844,4.0848,3.6045,5.0448,15.7534,2.5084,10.3438,13.9549
2024001212,2024年12月,112.1766,34.0887,8.607,7.3965,4.902,3.9444,5.4603,16.1344,2.4416,11.936,17.2659,113.6541,34.9986,8.7292,7.2444,5.002,3.9642,5.4878,16.4468,2.3387,12.0932,17.4933
2025000101,2025年1月,97.9965,26.6745,7.1488,9.1415,3.537,3.2675,4.67,14.8282,2.4755,9.6214,16.6317,98.7868,26.9439,7.221,8.9447,3.5945,3.3308,4.7315,15.0083,2.4246,9.858,16.7659
2025000202,2025年2月,92.9667,25.7662,7.4502,9.8968,3.1442,2.3774,4.5941,14.6057,2.9268,9.5307,12.6745,94.0958,26.1056,7.5179,10.1402,3.2018,2.421,4.6593,14.7682,2.8638,9.7054,12.8284
2025000303,2025年3月,107.1625,29.0267,7.4784,9.5558,3.9954,3.4508,4.7896,17.8254,3.9721,10.8425,16.2256,108.1357,29.3792,7.5387,9.7608,4.048,3.4821,4.8478,17.9873,3.8866,10.952,16.3729
2025000404,2025年4月,102.5258,27.011,7.7146,8.3499,3.814,3.4918,4.7385,15.4099,7.0441,10.8084,14.1433,102.9376,27.3391,7.7378,8.2755,3.814,3.4779,4.7385,15.4873,7.0866,10.7439,14.2001
2025000505,2025年5月,99.6619,28.5068,7.7372,7.1185,4.1772,3.3993,4.6844,16.0619,3.5089,10.6759,13.7919,99.6619,28.7948,7.7449,6.8513,4.1647,3.3857,4.6704,16.1751,3.5336,10.6122,13.7919
2025000606,2025年6月,94.8564,27.3894,7.6753,6.5405,4.7111,3.1342,5.0521,15.0541,1.8239,10.0383,13.4372,94.9514,27.6103,7.683,6.3562,4.683,3.1279,5.032,15.0843,1.8367,10.0887,13.4506
2025000707,2025年7月,97.5504,28.475,7.705,6.2102,5.1609,3.0738,5.0469,15.9912,2.0764,10.3637,13.4472,97.4529,28.5894,7.705,6.0885,5.12,3.0924,5.0268,15.9434,2.091,10.3534,13.4338
2025000808,2025年8月,100.8005,30.6947,7.8682,6.4335,4.436,2.6073,4.9336,15.2292,1.9705,11.9266,14.7009,100.499,30.5116,7.8369,6.5985,4.3964,2.6443,4.9189,15.1084,1.9864,11.7503,14.6569
2025000909,2025年9月,97.7196,28.0144,7.2244,6.7864,3.9565,2.3011,5.0351,16.5925,3.5485,10.3504,13.9108,97.622,27.7921,7.1956,7.0618,3.9486,2.2738,5.01,16.4935,3.5771,10.3711,13.8969
2025001010,2025年10月,97.6341,28.4309,7.8516,6.6105,3.6814,3.2375,5.1602,14.7534,4.1005,10.7229,13.0855,96.8592,28.0108,7.8047,6.8079,3.627,3.1896,5.1294,14.5497,4.1336,10.5748,12.9816
2025001111,2025年11月,99.9004,29.1833,7.5817,6.3894,4.406,3.958,5.1954,16.0075,2.631,11.1942,13.3543,98.7158,28.6391,7.514,6.3262,4.3667,3.8918,5.1593,15.8177,2.6522,11.0944,13.1959
2025001212,2025年12月,111.2253,34.7834,8.374,7.3528,4.6344,3.8003,5.589,15.3766,2.8443,12.1706,16.3,110.124,34.1013,8.2993,7.2873,4.6531,3.7552,5.5556,15.3153,2.8672,12.086,16.1386
2026000101,2026年1月,98.0143,27.8048,7.5539,8.6058,3.8547,3.2164,4.7629,14.1803,2.0797,10.2375,15.7191,97.14,27.1002,7.4717,8.5544,3.8858,3.2196,4.7345,14.1661,2.0965,10.2993,15.5789
2026000202,2026年2月,92.6964,26.1602,7.6838,9.1726,3.2016,2.4514,4.6722,14.6968,2.2378,10.2304,12.1898,92.5113,25.572,7.6002,9.9703,3.2177,2.4539,4.6443,14.6675,2.2513,10.2202,12.1655
2026000303,2026年3月,106.2532,29.0929,7.8864,8.8016,4.4856,3.5052,5.486,16.9368,4.0239,11.7396,14.2947,105.5146,28.4667,7.8006,9.4948,4.4324,3.4774,5.4479,16.6374,4.0441,11.6349,14.1953
2026000404,2026年4月,103.8765,27.7819,8.2663,7.6257,4.4438,3.2445,4.7696,16.6121,5.7704,11.2697,14.0929,102.7463,27.2371,8.1361,7.695,4.3609,3.1903,4.7506,16.3666,6.0423,11.0814,13.9396
